Date,State,Cases_Total,Cases_White,Cases_Black,Cases_LatinX,Cases_Asian,Cases_AIAN,Cases_NHPI,Cases_Multiracial,Cases_Other
20200624,CO,31155,10788,1719,11923,788,168,124,314,255
20200624,WA,29869,7630,1243,9585,1295,400,644,396,519
20200621,CA,173824,21177,5485,69392,8941,227,796,886,15321
20200621,CO,30539,10490,1728,11693,800,164,125,232,256
20200621,WA,28680,7300,1205,8872,1262,376,593,367,500
20200617,CA,157015,19766,5128,63202,8538,209,767,803,13325
20200617,CO,29673,10228,1700,11438,789,163,124,228,246
20200617,WA,26784,7088,1175,8579,1246,359,558,355,495
20200614,CA,148855,19045,4966,59702,8350,204,743,789,11981
20200614,CO,29130,10041,1689,11241,780,160,122,227,244
20200614,WA,25834,6918,1141,8136,1233,340,522,347,479
20200610,CA,136191,18064,4713,54151,8019,191,708,706,10784
20200610,CO,28499,9823,1675,10997,772,156,119,210,245
20200610,WA,24354,6450,1104,7241,1212,240,481,314,330
20200607,CA,128812,17486,4575,50302,7821,187,683,683,9603
20200607,CO,28001,9486,1610,10617,739,154,117,173,252
20200607,WA,23729,6327,1091,6931,1202,236,446,306,320
20200603,CA,117687,16402,4298,44975,7387,173,652,638,8626
20200603,CO,27060,9281,1580,10196,719,140,110,170,248
20200603,WA,22484,6150,1061,6474,1173,220,404,286,307
20200531,CA,110583,15843,4137,42897,7209,161,612,617,7163
20200531,CO,26378,8989,1540,9730,685,131,108,168,237
20200531,WA,21702,5977,1030,5981,1145,211,374,271,288
20200527,CA,98980,14640,3797,37768,6716,139,587,574,5026
20200527,CO,24767,8661,1483,9032,661,116,99,170,225
20200527,WA,20406,5841,1012,5587,1122,195,352,265,274
20200524,CA,92710,14218,3660,35760,6518,126,565,562,3780
20200524,CO,24174,8472,1448,8763,647,113,99,166,215
20200524,WA,19828,5678,940,5145,1071,182,305,244,260
20200520,CA,84057,13185,3418,31432,6119,113,547,517,3015
20200520,CO,22797,8147,1395,8143,629,102,91,164,207
20200520,WA,18971,5535,890,4719,1031,172,268,234,247
20200517,CA,78839,12452,3221,29208,5804,104,526,490,2824
20200517,CO,21938,7928,1353,7711,603,96,87,168,206
20200517,WA,18433,5425,861,4425,1006,161,251,232,242
20200513,CA,71141,11210,2869,24511,5206,91,477,416,2636
20200513,CO,20475,7596,1294,6926,595,90,85,167,204
20200513,WA,17512,5244,820,4080,965,146,241,222,227
20200510,CA,66680,10740,2741,22525,4935,84,454,396,2485
20200510,CO,19703,7386,1241,6531,559,84,82,175,210
20200510,WA,16891,5034,795,3718,946,128,229,217,213
20200506,CA,58815,9998,2456,19333,4519,74,428,339,2365
20200506,WA,15905,4773,730,3179,951,157,200,1,195
20200503,CA,53616,9449,2289,17127,4244,70,412,309,2151
20200503,WA,15185,4642,706,2996,924,151,186,1,191
20200429,CA,46500,8339,1977,13608,3721,71,71,249,2033
20200429,MN,4710,2136,603,603,185,46,23,92,464
20200429,WA,14070,4446,653,2764,896,119,165,1,184
20200426,CA,42164,7739,1839,12092,3438,58,58,225,1824
20200426,OR,1928,1065,47,509,64,17,22,44,425
20200426,WA,13521,4132,555,2379,804,111,130,1,163
20200422,CA,35396,6982,1630,9701,3020,50,50,189,1735
20200422,OR,1928,1065,47,509,64,17,22,44,425
20200419,CA,28963,5821,1358,7567,2522,38,38,388,1552
20200419,OR,1914,766,31,340,48,9,13,27,288
20200415,GA,15828,2645,3780,568,131,12,10,0,98
20200415,WA,10783,3396,400,1532,601,84,78,1,113
20200412,GA,12922,2023,2741,372,86,10,7,28,186
20200412,WA,10411,2903,289,1180,451,41,61,112,104
